Label,Features
1,"[7.         3.14285714 0.         1.         0.42857143 0.28571429
 0.         0.         0.         0.         0.        ]"
1,"[39.          2.76923077  0.          0.74358974  0.28205128  0.43589744
  0.          0.          0.          0.          0.        ]"
1,"[6.         2.83333333 0.         1.         0.33333333 0.5
 0.         0.         0.         0.         0.        ]"
1,"[22.          2.90909091  0.          0.72727273  0.31818182  0.45454545
  0.          0.          0.          0.          0.        ]"
1,"[7.         2.71428571 0.         1.         0.57142857 0.42857143
 0.         0.         1.         1.         0.        ]"
1,[2.  2.5 0.  1.  0.5 0.  0.  0.  0.  1.  0. ]
1,"[6.         2.83333333 0.         1.         0.16666667 0.5
 0.         0.         1.         0.         0.        ]"
1,"[6.         4.         0.         1.         0.16666667 0.83333333
 0.         0.         0.         0.         0.        ]"
1,"[18.          2.77777778  0.          0.94444444  0.38888889  0.55555556
  0.          0.          1.          0.          0.        ]"
1,[20.    4.4   0.    0.95  0.15  0.4   0.    0.    0.    0.    0.  ]
1,"[12.          2.58333333  0.          1.          0.25        0.41666667
  0.          0.          1.          0.          0.        ]"
1,"[36.          3.33333333  0.          0.83333333  0.25        0.66666667
  0.          1.          0.          0.          0.        ]"
1,[2.  5.  0.  1.  0.5 0.  0.  0.  1.  0.  0. ]
1,"[30.          3.83333333  0.          0.83333333  0.13333333  0.5
  0.          0.          0.          0.          0.        ]"
1,[2.  2.5 0.  1.  0.5 0.  0.  0.  0.  0.  0. ]
1,"[23.          3.04347826  0.          0.86956522  0.26086957  0.47826087
  0.          0.          0.          0.          0.        ]"
1,[8.    3.    0.    0.875 0.5   0.25  0.    0.    0.    0.    0.   ]
1,"[19.          4.42105263  0.          0.89473684  0.26315789  0.47368421
  0.          0.          1.          0.          0.        ]"
1,"[13.          2.69230769  0.          0.92307692  0.38461538  0.46153846
  0.          0.          0.          0.          0.        ]"
1,[8.    2.5   0.    1.    0.375 0.625 0.    0.    0.    0.    0.   ]
1,"[6.         3.33333333 0.         1.         0.16666667 0.5
 0.         0.         1.         0.         0.        ]"
1,[5.  2.8 0.  1.  0.4 0.2 0.  0.  1.  0.  0. ]
1,"[13.          2.92307692  0.          0.84615385  0.23076923  0.53846154
  0.          0.          0.          0.          0.        ]"
1,[25.    2.92  0.    0.76  0.2   0.48  0.    0.    0.    0.    0.  ]
1,"[13.          2.69230769  0.          0.92307692  0.30769231  0.46153846
  0.          0.          1.          0.          0.        ]"
1,"[24.          2.70833333  0.          0.91666667  0.29166667  0.5
  1.          0.          0.          0.          0.        ]"
1,"[19.          2.47368421  0.          0.84210526  0.36842105  0.26315789
  0.          0.          1.          0.          0.        ]"
1,[2.  1.5 0.  1.  0.5 0.5 0.  0.  0.  0.  0. ]
1,"[24.          3.20833333  0.          0.91666667  0.25        0.5
  0.          0.          0.          0.          0.        ]"
1,"[9.         4.88888889 0.         1.         0.33333333 0.44444444
 0.         0.         0.         0.         0.        ]"
1,"[11.          2.36363636  0.          0.90909091  0.54545455  0.36363636
  0.          0.          0.          0.          0.        ]"
1,"[15.          2.8         0.          0.86666667  0.4         0.26666667
  0.          0.          0.          0.          0.        ]"
1,"[3.         2.66666667 0.         1.         0.33333333 0.66666667
 0.         0.         0.         0.         0.        ]"
1,"[38.          2.5         0.          0.68421053  0.28947368  0.44736842
  0.          0.          0.          0.          0.        ]"
1,"[22.          3.45454545  0.          0.86363636  0.18181818  0.40909091
  0.          0.          0.          0.          0.        ]"
1,"[23.          3.65217391  0.          0.86956522  0.34782609  0.34782609
  0.          0.          0.          0.          0.        ]"
1,[5.  1.8 0.  1.  0.4 0.6 0.  0.  1.  0.  0. ]
1,"[15.          3.4         0.          0.8         0.4         0.33333333
  0.          0.          0.          0.          0.        ]"
1,[8.    3.    0.    0.875 0.125 0.625 0.    0.    0.    0.    0.   ]
1,"[19.          2.68421053  0.          0.78947368  0.36842105  0.31578947
  1.          0.          0.          0.          0.        ]"
1,"[13.          3.30769231  0.          1.          0.23076923  0.38461538
  1.          0.          1.          0.          0.        ]"
1,"[9.         3.33333333 0.         0.88888889 0.33333333 0.11111111
 0.         0.         0.         0.         0.        ]"
1,"[22.          3.36363636  0.          0.77272727  0.22727273  0.45454545
  0.          0.          1.          0.          0.        ]"
1,"[11.          2.81818182  0.          1.          0.27272727  0.45454545
  0.          0.          1.          0.          0.        ]"
1,"[11.          2.45454545  0.          0.81818182  0.27272727  0.54545455
  0.          0.          2.          0.          0.        ]"
1,"[55.          3.23636364  0.          0.74545455  0.30909091  0.30909091
  1.          0.          3.          0.          0.        ]"
1,[10.   3.7  0.   1.   0.1  0.4  0.   0.   0.   0.   0. ]
1,"[21.          3.66666667  0.          0.9047619   0.23809524  0.47619048
  0.          0.          0.          0.          0.        ]"
1,[4.   2.   0.   1.   0.25 0.5  0.   0.   1.   0.   0.  ]
1,"[33.          2.84848485  0.          0.75757576  0.27272727  0.54545455
  0.          0.          0.          0.          0.        ]"
1,"[3.         3.33333333 0.         1.         1.         0.
 1.         0.         0.         0.         0.        ]"
1,"[6.         2.83333333 0.         1.         0.16666667 0.5
 0.         0.         1.         0.         0.        ]"
1,"[47.          3.21276596  0.          0.74468085  0.19148936  0.5106383
  0.          0.          0.          0.          0.        ]"
1,[8.    2.625 0.    1.    0.375 0.25  0.    0.    1.    0.    0.   ]
1,[8.    2.375 0.    1.    0.5   0.375 0.    0.    0.    0.    0.   ]
1,"[6.         3.66666667 0.         0.83333333 0.33333333 0.16666667
 0.         0.         0.         0.         0.        ]"
1,"[27.          3.18518519  0.          0.74074074  0.18518519  0.44444444
  0.          0.          1.          0.          0.        ]"
1,[8.    3.5   0.    1.    0.625 0.25  0.    0.    1.    0.    0.   ]
1,"[3.         3.66666667 0.         1.         0.66666667 0.
 1.         0.         0.         0.         0.        ]"
1,"[3.         3.33333333 0.         1.         0.33333333 0.33333333
 0.         0.         0.         0.         0.        ]"
1,[8.    2.875 0.    0.75  0.5   0.    0.    0.    0.    0.    0.   ]
1,"[19.          3.42105263  0.          0.84210526  0.10526316  0.57894737
  0.          0.          1.          0.          0.        ]"
1,"[7.         3.         0.         1.         0.14285714 0.57142857
 0.         1.         1.         0.         0.        ]"
1,[2.  2.  0.  1.  0.5 0.  0.  0.  0.  0.  0. ]
1,"[24.          3.04166667  0.          0.83333333  0.25        0.54166667
  1.          0.          0.          0.          0.        ]"
1,[8.   3.25 0.   1.   0.25 0.5  0.   0.   0.   0.   0.  ]
1,"[14.          3.92857143  0.          1.          0.28571429  0.35714286
  0.          0.          0.          0.          0.        ]"
1,[5.  2.6 0.  1.  0.4 0.4 0.  0.  1.  0.  0. ]
1,"[7.         3.57142857 0.         1.         0.28571429 0.42857143
 0.         0.         0.         0.         0.        ]"
1,"[38.          2.86842105  0.          0.81578947  0.23684211  0.47368421
  0.          0.          0.          0.          0.        ]"
1,"[18.          3.05555556  0.          0.83333333  0.05555556  0.66666667
  0.          0.          1.          0.          0.        ]"
1,[4.   4.5  0.   0.75 0.5  0.   0.   0.   2.   0.   0.  ]
1,"[9.         3.11111111 0.         1.         0.44444444 0.33333333
 0.         0.         1.         0.         0.        ]"
1,"[27.          2.88888889  0.          0.88888889  0.2962963   0.33333333
  0.          1.          1.          0.          0.        ]"
1,"[18.          2.83333333  0.          0.94444444  0.16666667  0.38888889
  0.          0.          0.          0.          0.        ]"
1,[5.  3.2 0.  1.  0.2 0.8 0.  0.  1.  0.  0. ]
1,"[13.          3.30769231  0.          0.92307692  0.23076923  0.46153846
  0.          0.          0.          0.          0.        ]"
1,"[13.          2.53846154  0.          0.92307692  0.38461538  0.38461538
  0.          0.          0.          1.          0.        ]"
1,[8.    3.125 0.    1.    0.25  0.625 0.    0.    0.    0.    0.   ]
1,"[22.          3.          0.          0.77272727  0.45454545  0.45454545
  0.          0.          0.          0.          0.        ]"
1,"[9.         2.77777778 0.         1.         0.44444444 0.22222222
 0.         0.         0.         0.         0.        ]"
1,[8.    2.75  0.    1.    0.5   0.375 0.    0.    0.    0.    0.   ]
1,"[6.         2.83333333 0.         1.         0.33333333 0.33333333
 0.         0.         0.         0.         0.        ]"
1,"[33.          3.51515152  0.          0.87878788  0.09090909  0.54545455
  0.          0.          1.          0.          0.        ]"
1,[8.   2.5  0.   1.   0.25 0.5  0.   0.   0.   0.   0.  ]
1,[2.  2.  0.  1.  0.5 0.  0.  0.  0.  0.  0. ]
1,[2.  1.5 0.  1.  0.5 0.5 0.  0.  1.  0.  0. ]
1,[2.  2.5 0.  1.  1.  0.  0.  0.  0.  0.  0. ]
1,[2.  1.5 0.  1.  0.5 0.5 0.  0.  0.  0.  0. ]
1,"[7.         3.14285714 0.         1.         0.42857143 0.42857143
 0.         0.         1.         0.         0.        ]"
1,"[18.          3.22222222  0.          0.88888889  0.44444444  0.38888889
  0.          0.          0.          0.          0.        ]"
1,[10.   3.9  0.   1.   0.3  0.4  0.   0.   1.   0.   0. ]
1,[2.  3.5 0.  1.  0.5 0.  0.  0.  0.  0.  0. ]
1,[4.   4.5  0.   1.   0.5  0.25 0.   0.   1.   0.   0.  ]
1,[20.    2.65  0.    0.75  0.4   0.4   0.    0.    0.    0.    0.  ]
1,"[16.      3.5625  0.      0.9375  0.375   0.4375  0.      0.      0.
  0.      0.    ]"
1,"[14.          3.5         0.          0.85714286  0.35714286  0.21428571
  0.          1.          2.          0.          0.        ]"
1,[2.  2.5 0.  1.  0.5 0.5 0.  0.  1.  0.  0. ]
1,"[13.          2.46153846  0.          0.84615385  0.30769231  0.46153846
  0.          0.          1.          0.          0.        ]"
1,"[16.      3.25    0.      0.9375  0.375   0.4375  0.      0.      0.
  0.      0.    ]"
1,"[17.          3.64705882  0.          0.94117647  0.23529412  0.47058824
  0.          0.          0.          0.          0.        ]"
1,[4.  3.5 0.  1.  0.5 0.  0.  0.  0.  0.  0. ]
1,[4.   3.5  0.   1.   0.5  0.25 0.   0.   0.   0.   0.  ]
1,[4.  4.5 0.  1.  0.5 0.5 0.  0.  1.  0.  0. ]
1,"[9.         3.77777778 0.         1.         0.22222222 0.33333333
 0.         0.         0.         0.         0.        ]"
1,[2.  2.5 0.  1.  0.5 0.  0.  0.  0.  0.  0. ]
1,"[16.      2.4375  0.      0.625   0.375   0.5     0.      0.      0.
  0.      0.    ]"
1,[10.   3.8  0.   0.9  0.5  0.3  1.   0.   0.   0.   0. ]
1,"[15.          2.53333333  0.          0.86666667  0.26666667  0.53333333
  0.          0.          0.          0.          0.        ]"
1,"[37.          3.43243243  0.          0.89189189  0.16216216  0.45945946
  0.          0.          1.          0.          0.        ]"
1,[2. 3. 0. 1. 1. 0. 0. 0. 0. 0. 0.]
1,[5.  3.6 0.  1.  0.4 0.4 0.  0.  0.  0.  0. ]
1,"[29.          3.5862069   0.          0.96551724  0.17241379  0.44827586
  0.          0.          1.          0.          0.        ]"
1,"[6.         2.16666667 0.         1.         0.33333333 0.5
 1.         0.         1.         0.         0.        ]"
1,[2.  1.5 0.  1.  0.5 0.5 0.  0.  0.  0.  0. ]
1,"[13.          2.38461538  0.          0.92307692  0.23076923  0.53846154
  0.          0.          0.          0.          0.        ]"
1,"[14.          2.92857143  0.          1.          0.21428571  0.35714286
  0.          0.          0.          0.          0.        ]"
1,[10.   2.4  0.   0.9  0.7  0.1  1.   0.   0.   0.   0. ]
1,"[24.          3.20833333  0.          0.875       0.29166667  0.41666667
  0.          0.          0.          0.          0.        ]"
1,[1. 3. 0. 1. 1. 0. 0. 0. 0. 0. 0.]
1,"[7.         1.57142857 0.         1.         0.42857143 0.57142857
 0.         0.         0.         0.         0.        ]"
1,[2.  2.5 0.  1.  0.5 0.  0.  0.  0.  0.  0. ]
1,[8.    2.625 0.    1.    0.375 0.375 0.    0.    0.    0.    0.   ]
1,[25.    3.08  0.    0.96  0.16  0.56  0.    0.    0.    0.    0.  ]
1,[5.  1.8 0.  1.  0.4 0.6 0.  0.  0.  0.  0. ]
1,"[12.          2.16666667  0.          0.75        0.5         0.25
  0.          0.          1.          0.          0.        ]"
1,"[29.          2.75862069  0.          0.62068966  0.20689655  0.5862069
  0.          0.          0.          0.          0.        ]"
1,[2.  3.5 0.  1.  0.5 0.  0.  0.  1.  0.  0. ]
1,"[6.         3.33333333 0.         1.         0.33333333 0.5
 0.         0.         1.         0.         0.        ]"
1,"[33.          2.66666667  0.          0.75757576  0.24242424  0.60606061
  0.          0.          0.          0.          0.        ]"
1,[10.   2.6  0.   1.   0.3  0.6  1.   0.   0.   0.   0. ]
1,"[15.          3.2         0.          1.          0.2         0.33333333
  0.          0.          0.          0.          0.        ]"
1,"[45.          3.08888889  0.          0.77777778  0.26666667  0.44444444
  0.          0.          0.          0.          0.        ]"
1,[4.   2.25 0.   1.   0.5  0.25 0.   0.   1.   0.   0.  ]
1,[5.  3.6 0.  1.  0.6 0.  0.  0.  0.  0.  0. ]
1,[2.  3.  0.  1.  0.5 0.  0.  0.  0.  0.  0. ]
1,"[16.      4.875   0.      1.      0.1875  0.1875  0.      0.      0.
  0.      0.    ]"
1,[2.  2.5 0.  1.  0.5 0.  0.  0.  0.  0.  0. ]
1,"[7.         2.71428571 0.         1.         0.28571429 0.57142857
 0.         0.         0.         0.         0.        ]"
1,[10.   2.7  0.   1.   0.4  0.2  0.   0.   0.   0.   0. ]
1,[8.    4.125 0.    1.    0.25  0.375 0.    0.    0.    0.    0.   ]
1,"[15.          2.2         0.          0.8         0.26666667  0.53333333
  0.          0.          0.          0.          0.        ]"
1,"[18.          2.55555556  0.          0.88888889  0.22222222  0.66666667
  0.          0.          1.          0.          0.        ]"
1,"[13.          3.84615385  0.          0.84615385  0.46153846  0.38461538
  0.          0.          0.          0.          0.        ]"
1,[10.   3.2  0.   1.   0.2  0.4  0.   0.   1.   0.   0. ]
1,"[22.          3.          0.          0.86363636  0.22727273  0.54545455
  0.          0.          0.          0.          0.        ]"
1,[20.    1.7   0.    0.5   0.35  0.6   0.    1.    0.    0.    0.  ]
1,"[11.          4.09090909  0.          0.90909091  0.36363636  0.27272727
  0.          0.          0.          0.          0.        ]"
1,[4.   3.75 0.   1.   0.5  0.25 0.   0.   0.   0.   0.  ]
1,[10.   3.3  0.   0.9  0.1  0.6  0.   1.   0.   0.   0. ]
1,"[21.          3.33333333  0.          0.9047619   0.14285714  0.47619048
  0.          0.          1.          0.          0.        ]"
1,"[11.          2.63636364  0.          0.90909091  0.18181818  0.54545455
  0.          0.          1.          0.          0.        ]"
1,[8.    3.125 0.    1.    0.125 0.5   0.    0.    0.    0.    0.   ]
1,[10.   2.2  0.   0.8  0.2  0.5  0.   0.   2.   0.   0. ]
