Label,Features
1,"[11.          2.36363636  0.          1.          0.27272727  0.54545455
  0.          0.          1.          0.          0.        ]"
1,"[16.      1.875   0.      0.6875  0.375   0.375   0.      0.      0.
  0.      0.    ]"
1,[4.   3.25 0.   1.   0.25 0.5  0.   0.   0.   0.   0.  ]
1,"[16.      2.625   0.      0.8125  0.25    0.5625  0.      0.      0.
  0.      0.    ]"
1,"[9.         2.88888889 0.         0.88888889 0.44444444 0.22222222
 0.         0.         0.         0.         0.        ]"
1,"[12.          2.33333333  0.          0.83333333  0.25        0.33333333
  0.          0.          0.          0.          0.        ]"
1,"[9.         2.33333333 0.         0.88888889 0.33333333 0.33333333
 0.         0.         0.         0.         0.        ]"
1,[4.   2.5  0.   0.75 0.5  0.   0.   0.   0.   1.   0.  ]
1,[2.  2.5 0.  1.  0.5 0.  0.  0.  0.  0.  0. ]
1,"[29.          3.31034483  0.          0.82758621  0.27586207  0.37931034
  0.          0.          0.          0.          0.        ]"
1,"[15.          3.93333333  0.          0.86666667  0.2         0.46666667
  0.          0.          0.          0.          0.        ]"
1,"[19.          3.          0.          0.84210526  0.26315789  0.42105263
  0.          0.          0.          0.          0.        ]"
1,"[14.          3.71428571  0.          0.92857143  0.28571429  0.35714286
  0.          0.          2.          0.          0.        ]"
1,"[33.          3.93939394  0.          0.78787879  0.12121212  0.54545455
  0.          0.          0.          0.          0.        ]"
1,"[7.         3.57142857 0.         1.         0.14285714 0.57142857
 0.         0.         0.         0.         0.        ]"
1,"[14.          3.92857143  0.          0.85714286  0.35714286  0.28571429
  0.          0.          0.          0.          0.        ]"
1,"[33.          3.03030303  0.          0.81818182  0.39393939  0.27272727
  0.          0.          1.          1.          0.        ]"
1,"[13.          3.84615385  0.          0.92307692  0.30769231  0.23076923
  0.          0.          0.          0.          0.        ]"
1,[2.  2.5 0.  1.  0.5 0.  0.  0.  0.  1.  0. ]
1,"[22.          2.68181818  0.          0.86363636  0.27272727  0.40909091
  0.          0.          0.          0.          0.        ]"
1,"[36.          2.72222222  0.          0.72222222  0.27777778  0.5
  0.          0.          0.          0.          0.        ]"
1,[20.    3.    0.    0.75  0.45  0.4   0.    0.    0.    0.    0.  ]
1,[2.  1.5 0.  1.  0.5 0.5 0.  0.  0.  0.  0. ]
1,"[21.          2.85714286  0.          1.          0.33333333  0.38095238
  1.          0.          1.          0.          0.        ]"
1,"[17.          3.35294118  0.          1.          0.23529412  0.52941176
  1.          0.          1.          0.          0.        ]"
1,"[9.         3.         0.         1.         0.22222222 0.55555556
 0.         0.         0.         0.         0.        ]"
1,[5.  4.  0.  1.  0.2 0.4 0.  0.  0.  0.  0. ]
1,[8.    3.    0.    1.    0.25  0.375 0.    0.    0.    0.    0.   ]
1,"[6.         3.         0.         1.         0.33333333 0.33333333
 0.         0.         0.         0.         0.        ]"
1,[10.   2.9  0.   1.   0.2  0.6  0.   0.   0.   0.   0. ]
1,[4.   2.   0.   1.   0.75 0.   0.   0.   0.   0.   0.  ]
1,"[27.          2.77777778  0.          0.7037037   0.2962963   0.40740741
  0.          0.          0.          0.          0.        ]"
1,"[23.          3.17391304  0.          0.91304348  0.39130435  0.34782609
  0.          0.          1.          0.          0.        ]"
1,"[26.          2.96153846  0.          0.73076923  0.23076923  0.42307692
  0.          0.          0.          0.          0.        ]"
1,"[3.         2.66666667 0.         1.         0.33333333 0.33333333
 0.         0.         0.         0.         0.        ]"
1,"[28.          3.17857143  0.          0.82142857  0.25        0.39285714
  0.          0.          0.          0.          0.        ]"
1,[4.  2.  0.  0.5 1.  0.  0.  0.  0.  0.  0. ]
1,[5.  1.6 0.  0.4 0.4 0.  0.  0.  0.  2.  0. ]
1,"[12.          2.41666667  0.          0.83333333  0.41666667  0.25
  0.          0.          0.          0.          0.        ]"
