Label,Features
1,"[12.          2.16666667  0.          0.83333333  0.41666667  0.41666667
  0.          0.          0.          0.          0.        ]"
1,"[14.          2.28571429  0.          0.85714286  0.21428571  0.5
  0.          0.          1.          0.          0.        ]"
1,[5.  3.8 0.  1.  0.8 0.2 0.  0.  1.  0.  0. ]
1,"[15.          2.53333333  0.          0.86666667  0.33333333  0.46666667
  0.          0.          0.          0.          0.        ]"
1,[4.  3.  0.  1.  0.5 0.  0.  0.  1.  0.  0. ]
1,"[18.          3.77777778  0.          0.94444444  0.27777778  0.33333333
  0.          0.          0.          0.          0.        ]"
1,"[12.          2.5         0.          0.83333333  0.5         0.5
  0.          0.          0.          0.          0.        ]"
1,"[45.          3.77777778  0.          0.86666667  0.26666667  0.48888889
  0.          0.          2.          0.          0.        ]"
1,"[27.          2.74074074  0.          0.92592593  0.22222222  0.44444444
  0.          0.          0.          0.          0.        ]"
1,"[9.         4.11111111 0.         1.         0.33333333 0.33333333
 0.         0.         0.         0.         0.        ]"
1,[25.    3.36  0.    0.88  0.24  0.36  0.    0.    2.    0.    0.  ]
1,"[13.          2.84615385  0.          0.92307692  0.23076923  0.53846154
  0.          0.          0.          0.          0.        ]"
1,"[19.          3.36842105  0.          0.94736842  0.10526316  0.63157895
  0.          0.          0.          0.          0.        ]"
1,[2.  1.5 0.  1.  0.5 0.5 0.  0.  0.  0.  0. ]
1,"[13.          2.46153846  0.          1.          0.46153846  0.46153846
  1.          0.          1.          0.          0.        ]"
1,[8.    2.125 0.    1.    0.375 0.375 0.    0.    0.    0.    0.   ]
1,"[27.          3.62962963  0.          0.96296296  0.2962963   0.48148148
  0.          0.          0.          0.          0.        ]"
1,"[11.          4.18181818  0.          1.          0.18181818  0.54545455
  0.          0.          0.          0.          0.        ]"
1,"[29.          3.20689655  0.          0.82758621  0.31034483  0.4137931
  0.          0.          1.          0.          0.        ]"
1,"[11.          3.81818182  0.          1.          0.18181818  0.54545455
  0.          0.          0.          0.          0.        ]"
1,"[6.         5.16666667 0.         1.         0.16666667 0.33333333
 0.         0.         1.         0.         0.        ]"
1,[2. 4. 0. 1. 1. 0. 0. 0. 0. 0. 0.]
1,"[14.          2.85714286  0.          0.92857143  0.14285714  0.5
  0.          0.          0.          0.          0.        ]"
1,"[6.         2.         0.         1.         0.33333333 0.33333333
 1.         0.         0.         0.         0.        ]"
1,[4.   2.75 0.   1.   0.25 0.5  0.   0.   0.   0.   0.  ]
1,[8.    2.875 0.    0.875 0.5   0.25  0.    0.    0.    0.    0.   ]
1,"[12.          2.83333333  0.          0.91666667  0.41666667  0.5
  0.          0.          0.          0.          0.        ]"
1,"[16.      2.6875  0.      1.      0.5     0.375   1.      0.      0.
  1.      0.    ]"
1,"[7.         2.42857143 0.         1.         0.28571429 0.42857143
 0.         0.         0.         0.         0.        ]"
1,"[9.         2.44444444 0.         1.         0.33333333 0.77777778
 0.         0.         0.         0.         0.        ]"
1,[2.  5.  0.  1.  0.5 0.  0.  0.  0.  0.  0. ]
1,[5.  3.2 0.  1.  0.2 0.8 0.  0.  1.  0.  0. ]
1,"[30.          2.9         0.          0.76666667  0.2         0.5
  0.          0.          0.          0.          0.        ]"
1,"[35.          3.14285714  0.          0.74285714  0.17142857  0.54285714
  0.          0.          0.          0.          0.        ]"
1,"[14.          4.14285714  0.          1.          0.14285714  0.35714286
  0.          0.          0.          0.          0.        ]"
1,[25.    3.72  0.    0.88  0.36  0.24  1.    0.    1.    0.    0.  ]
1,"[21.          3.61904762  0.          0.95238095  0.19047619  0.47619048
  0.          0.          0.          0.          0.        ]"
1,"[7.         3.42857143 0.         1.         0.14285714 0.57142857
 0.         0.         1.         0.         0.        ]"
1,"[40.     3.15   0.     0.75   0.325  0.375  0.     0.     2.     0.
  0.   ]"
1,"[7.         2.         0.         0.85714286 0.28571429 0.42857143
 0.         0.         0.         0.         0.        ]"
1,"[24.          3.16666667  0.          0.91666667  0.41666667  0.33333333
  1.          0.          0.          0.          0.        ]"
1,"[7.         2.71428571 0.         1.         0.42857143 0.42857143
 0.         0.         0.         0.         0.        ]"
1,[8.    2.25  0.    1.    0.375 0.75  0.    0.    1.    0.    0.   ]
1,[5.  2.6 0.  1.  0.6 0.4 0.  0.  0.  0.  0. ]
1,"[7.         2.42857143 0.         1.         0.42857143 0.42857143
 0.         0.         1.         0.         0.        ]"
1,"[11.          3.81818182  0.          0.81818182  0.54545455  0.18181818
  0.          0.          3.          0.          0.        ]"
1,[20.    3.35  0.    0.95  0.3   0.45  0.    0.    0.    0.    0.  ]
1,[6.  2.  0.  1.  0.5 0.5 0.  0.  0.  0.  0. ]
1,[20.    3.65  0.    1.    0.3   0.3   0.    0.    1.    0.    0.  ]
1,"[23.          4.47826087  0.          0.82608696  0.65217391  0.13043478
  1.          0.          1.          0.          0.        ]"
1,"[13.          2.15384615  0.          0.76923077  0.30769231  0.38461538
  0.          0.          0.          0.          0.        ]"
1,"[26.          1.80769231  0.          0.53846154  0.38461538  0.46153846
  0.          0.          0.          0.          0.        ]"
1,[4.   5.75 0.   1.   0.25 0.25 0.   0.   0.   0.   0.  ]
1,"[6.         2.83333333 0.         0.83333333 0.5        0.33333333
 0.         0.         0.         2.         0.        ]"
1,"[7.         3.85714286 0.         1.         0.42857143 0.28571429
 0.         0.         1.         0.         0.        ]"
1,"[19.          3.57894737  0.          0.89473684  0.31578947  0.26315789
  0.          0.          0.          0.          0.        ]"
1,[2. 4. 0. 1. 1. 0. 0. 0. 1. 0. 0.]
1,[8.    2.875 0.    1.    0.125 0.625 0.    0.    1.    0.    0.   ]
1,"[6.         2.83333333 0.         1.         0.16666667 0.66666667
 0.         0.         1.         0.         0.        ]"
1,"[15.          2.66666667  0.          1.          0.2         0.46666667
  0.          0.          0.          0.          0.        ]"
1,"[13.          2.61538462  0.          0.92307692  0.30769231  0.53846154
  0.          0.          0.          0.          0.        ]"
1,"[12.          2.58333333  0.          0.75        0.41666667  0.58333333
  0.          0.          0.          2.          0.        ]"
1,"[13.          2.92307692  0.          0.92307692  0.46153846  0.30769231
  0.          0.          1.          0.          0.        ]"
1,"[47.          2.9787234   0.          0.78723404  0.27659574  0.4893617
  1.          1.          1.          0.          0.        ]"
1,[10.   3.2  0.   0.9  0.2  0.5  0.   0.   1.   0.   0. ]
1,[10.   3.6  0.   0.9  0.3  0.7  0.   0.   1.   0.   0. ]
1,"[14.          3.35714286  0.          1.          0.14285714  0.5
  1.          0.          0.          0.          0.        ]"
1,"[15.          3.46666667  0.          0.93333333  0.4         0.33333333
  0.          0.          0.          0.          0.        ]"
1,"[9.         2.55555556 0.         0.88888889 0.44444444 0.44444444
 0.         0.         0.         0.         0.        ]"
1,"[6.         2.66666667 0.         1.         0.5        0.5
 0.         0.         0.         0.         0.        ]"
1,"[28.          2.78571429  0.          0.75        0.28571429  0.53571429
  0.          0.          2.          0.          0.        ]"
1,"[23.          2.65217391  0.          0.86956522  0.26086957  0.60869565
  0.          0.          0.          0.          0.        ]"
1,"[15.          2.53333333  0.          0.86666667  0.33333333  0.4
  0.          0.          0.          0.          0.        ]"
1,"[15.          2.53333333  0.          0.93333333  0.2         0.46666667
  0.          0.          0.          0.          0.        ]"
1,"[18.          2.88888889  0.          1.          0.16666667  0.5
  0.          0.          1.          0.          0.        ]"
1,"[22.          4.63636364  0.          0.95454545  0.18181818  0.36363636
  0.          0.          0.          0.          0.        ]"
1,"[11.          2.90909091  0.          0.90909091  0.36363636  0.54545455
  0.          0.          0.          0.          0.        ]"
1,"[9.         2.77777778 0.         0.88888889 0.33333333 0.44444444
 0.         0.         0.         0.         0.        ]"
1,[8.    3.25  0.    1.    0.375 0.25  0.    0.    0.    0.    0.   ]
1,[2.  2.  0.  1.  0.5 0.  0.  0.  0.  0.  0. ]
1,"[6.         2.33333333 0.         1.         0.33333333 0.5
 0.         0.         1.         0.         0.        ]"
1,"[16.     2.875  0.     0.875  0.375  0.5    0.     0.     0.     2.
  0.   ]"
1,"[7.         3.28571429 0.         1.         0.71428571 0.
 0.         0.         1.         0.         0.        ]"
1,[4.  3.  0.  1.  0.5 0.5 0.  0.  0.  1.  0. ]
1,[8.    3.125 0.    1.    0.25  0.375 0.    0.    0.    0.    0.   ]
1,"[6.         3.         0.         1.         0.33333333 0.33333333
 0.         0.         1.         0.         0.        ]"
1,"[11.          4.          0.          1.          0.27272727  0.36363636
  0.          0.          1.          0.          0.        ]"
1,"[7.         3.57142857 0.         1.         0.28571429 0.28571429
 0.         0.         0.         0.         0.        ]"
1,[8.    3.625 0.    0.875 0.375 0.375 0.    0.    0.    0.    0.   ]
1,"[6.         1.83333333 0.         1.         0.33333333 0.5
 0.         0.         0.         0.         0.        ]"
1,"[29.          3.24137931  0.          0.82758621  0.17241379  0.5862069
  0.          0.          0.          0.          0.        ]"
1,[20.    2.4   0.    0.85  0.3   0.45  0.    0.    0.    0.    0.  ]
1,"[15.          3.2         0.          0.86666667  0.26666667  0.46666667
  0.          0.          0.          2.          0.        ]"
1,"[16.      3.      0.      0.9375  0.25    0.4375  0.      0.      1.
  0.      0.    ]"
1,[2.  3.5 0.  1.  0.5 0.  0.  0.  0.  0.  0. ]
1,[5.  3.8 0.  1.  0.2 0.4 0.  0.  1.  0.  0. ]
1,[4.  5.  0.  1.  0.5 0.  0.  0.  0.  0.  0. ]
1,"[24.          3.75        0.          0.875       0.20833333  0.41666667
  0.          0.          1.          0.          0.        ]"
1,"[13.          2.92307692  0.          0.61538462  0.61538462  0.07692308
  0.          0.          0.          0.          0.        ]"
1,[10.   3.   0.   1.   0.3  0.4  0.   0.   0.   0.   0. ]
1,"[27.          2.81481481  0.          0.88888889  0.14814815  0.62962963
  0.          0.          0.          1.          0.        ]"
1,"[6.         2.33333333 0.         0.83333333 0.5        0.
 0.         0.         0.         0.         0.        ]"
1,[2.  3.5 0.  1.  0.5 0.  0.  0.  1.  0.  0. ]
1,[10.   3.3  0.   1.   0.2  0.6  0.   0.   0.   0.   0. ]
1,"[19.          2.84210526  0.          0.84210526  0.26315789  0.47368421
  0.          0.          0.          0.          0.        ]"
1,"[19.          3.21052632  0.          0.94736842  0.26315789  0.42105263
  0.          0.          1.          1.          0.        ]"
1,"[28.          3.07142857  0.          0.82142857  0.21428571  0.46428571
  0.          0.          0.          0.          0.        ]"
1,"[12.          3.75        0.          0.91666667  0.41666667  0.33333333
  0.          0.          0.          0.          0.        ]"
1,"[15.          3.26666667  0.          0.86666667  0.2         0.6
  0.          0.          0.          0.          0.        ]"
1,"[15.          3.8         0.          1.          0.2         0.46666667
  0.          1.          1.          0.          0.        ]"
1,"[22.          3.13636364  0.          0.95454545  0.13636364  0.5
  0.          0.          0.          0.          0.        ]"
1,"[11.          2.90909091  0.          0.90909091  0.27272727  0.54545455
  0.          0.          0.          0.          0.        ]"
1,"[3.         3.         0.         1.         0.33333333 0.
 0.         0.         0.         0.         0.        ]"
1,"[21.          2.61904762  0.          0.9047619   0.38095238  0.47619048
  1.          0.          0.          0.          0.        ]"
1,"[13.          2.23076923  0.          0.76923077  0.38461538  0.53846154
  0.          0.          0.          0.          0.        ]"
1,"[6.         2.66666667 0.         1.         0.33333333 0.66666667
 0.         0.         1.         0.         0.        ]"
1,[10.   3.4  0.   1.   0.4  0.4  1.   0.   0.   0.   0. ]
1,"[3.         2.         0.         1.         0.66666667 0.
 0.         0.         0.         0.         0.        ]"
1,"[19.          3.05263158  0.          0.84210526  0.26315789  0.47368421
  0.          1.          0.          0.          0.        ]"
1,"[12.          3.33333333  0.          1.          0.25        0.41666667
  0.          0.          0.          0.          0.        ]"
1,"[9.         3.66666667 0.         0.66666667 0.22222222 0.44444444
 0.         0.         0.         0.         0.        ]"
1,"[17.          3.35294118  0.          0.88235294  0.29411765  0.29411765
  0.          0.          0.          0.          0.        ]"
1,[8.    2.875 0.    1.    0.25  0.375 0.    0.    0.    0.    0.   ]
1,[5.  2.8 0.  1.  0.6 0.2 0.  0.  0.  0.  0. ]
1,"[22.          3.          0.          0.86363636  0.22727273  0.45454545
  0.          0.          0.          0.          0.        ]"
1,"[22.          4.36363636  0.          0.81818182  0.36363636  0.36363636
  0.          0.          0.          0.          0.        ]"
1,[5.  4.2 0.  1.  0.2 0.2 0.  0.  0.  0.  0. ]
1,"[9.         2.55555556 0.         1.         0.22222222 0.44444444
 0.         0.         0.         0.         0.        ]"
1,[2.  2.  0.  1.  0.5 0.  0.  0.  0.  0.  0. ]
1,"[14.          3.35714286  0.          0.85714286  0.35714286  0.35714286
  0.          0.          0.          0.          0.        ]"
1,"[13.          3.61538462  0.          1.          0.23076923  0.38461538
  0.          0.          0.          0.          0.        ]"
1,"[22.          2.90909091  0.          0.63636364  0.31818182  0.22727273
  0.          0.          0.          0.          0.        ]"
1,"[40.     3.025  0.     0.825  0.275  0.5    0.     1.     1.     0.
  0.   ]"
1,"[3.         2.33333333 0.         1.         0.33333333 0.66666667
 0.         0.         1.         0.         0.        ]"
1,[4.   2.5  0.   0.75 0.5  0.   0.   0.   0.   0.   0.  ]
1,"[24.          2.95833333  0.          0.79166667  0.375       0.41666667
  0.          0.          0.          0.          0.        ]"
1,"[19.          2.57894737  0.          0.84210526  0.26315789  0.57894737
  0.          0.          2.          0.          0.        ]"
1,"[35.          3.4         0.          0.82857143  0.28571429  0.42857143
  0.          0.          0.          0.          0.        ]"
1,"[16.      3.375   0.      0.8125  0.3125  0.375   0.      0.      0.
  0.      0.    ]"
1,"[14.          3.42857143  0.          0.92857143  0.21428571  0.21428571
  0.          0.          0.          0.          0.        ]"
1,"[15.          3.26666667  0.          0.93333333  0.26666667  0.33333333
  0.          0.          0.          0.          0.        ]"
1,[5.  2.8 0.  1.  0.4 0.4 0.  0.  0.  0.  0. ]
1,"[17.          3.05882353  0.          0.94117647  0.29411765  0.35294118
  0.          0.          0.          0.          0.        ]"
1,"[27.          3.66666667  0.          0.88888889  0.44444444  0.44444444
  0.          0.          0.          0.          0.        ]"
1,[10.   3.2  0.   0.9  0.6  0.4  0.   0.   0.   0.   0. ]
1,[8.    3.25  0.    1.    0.125 0.5   0.    0.    1.    0.    0.   ]
1,[5.  2.6 0.  1.  0.2 0.6 0.  0.  0.  0.  0. ]
1,"[11.          3.18181818  0.          1.          0.18181818  0.45454545
  0.          0.          0.          0.          0.        ]"
1,"[18.          4.22222222  0.          1.          0.27777778  0.33333333
  0.          0.          0.          0.          0.        ]"
1,"[11.          3.90909091  0.          1.          0.09090909  0.36363636
  0.          0.          1.          0.          0.        ]"
1,"[12.          2.58333333  0.          0.91666667  0.41666667  0.41666667
  1.          0.          0.          0.          0.        ]"
1,"[9.         4.22222222 0.         1.         0.22222222 0.33333333
 0.         0.         1.         0.         0.        ]"
1,[10.   2.9  0.   1.   0.4  0.4  1.   0.   0.   0.   0. ]
1,"[12.          2.41666667  0.          0.91666667  0.33333333  0.5
  0.          0.          0.          1.          0.        ]"
1,[10.   2.8  0.   0.9  0.5  0.3  0.   0.   0.   0.   0. ]
1,[8.    3.375 0.    1.    0.5   0.375 0.    0.    0.    0.    0.   ]
1,[5.  3.4 0.  1.  0.2 0.4 0.  0.  0.  0.  0. ]
1,"[13.          2.84615385  0.          0.92307692  0.15384615  0.53846154
  0.          0.          0.          1.          0.        ]"
1,"[96.          2.72916667  0.          0.60416667  0.3125      0.51041667
  1.          0.          1.          0.          0.        ]"
