featureIndex	featureName
1	Utterance length
2	Average word length (for that utterance)
3	Utterance type (statement/question/exclamation/ellipse)
4	Whether the utterance contains or not contain the top 10-20 words
5	Sentiment (find module for this)
6	Diversity of vocabulary (type-token ratio)
7	Number of neologisms/ unseen words
8	Stop word to non-stop word ratio
9	POS ratio
10	Contains numbers
11	Contains profanity (make manual list of swear words)
